,data_file,niche,sample_no,temp_C,moist_level,moist,peaka rea,ppm,Bag_ID,bag_avg,avg_blank,median_blank,ppm_orreted,incubation_time
426,2022_09_08_REH_lim_exp2_135,Litter,3,35,1.5,150,259813.5,22.63698,A,6.220324,12.612708,12.570904,3.845752,24.5
427,2022_09_08_REH_lim_exp2_136,Litter,4,35,1.5,150,103112.5,10.1009,A,6.220324,12.612708,12.570904,-8.690328,24.5
428,2022_09_08_REH_lim_exp2_137,Litter,5,35,1.5,150,277276.4,24.034012,A,6.220324,12.612708,12.570904,5.242784,24.5
429,2022_09_08_REH_lim_exp2_138,Litter,6,35,1.5,150,179932.2,16.246476,A,6.220324,12.612708,12.570904,-2.544752,24.5
430,2022_09_08_REH_lim_exp2_139,Litter,7,35,1.5,150,188900.3,16.963924,A,6.220324,12.612708,12.570904,-1.827304,24.5
431,2022_09_08_REH_lim_exp2_140,Litter,8,35,1.5,150,138962.4,12.968892,A,6.220324,12.612708,12.570904,-5.822336,24.5
432,2022_09_08_REH_lim_exp2_141,Litter,9,35,1.5,150,253298.6,22.115788,A,6.220324,12.612708,12.570904,3.32456,24.5
172,2022_09_05_REH_lim_exp2_049,Soil,1,5,0.1,10,5000.4,2.530932,AB,2.1591825,2.580342,2.48192,-2.1101705,23.75
173,2022_09_05_REH_lim_exp2_058,Soil,3,5,0.1,10,4776.5,2.51302,AB,2.1591825,2.580342,2.48192,-2.1280825,23.75
174,2022_09_05_REH_lim_exp2_059,Soil,2,5,0.1,10,5387.4,2.561892,AB,2.1591825,2.580342,2.48192,-2.0792105,23.75
175,2022_09_05_REH_lim_exp2_060,Soil,4,5,0.1,10,102111.3,10.299804,AB,2.1591825,2.580342,2.48192,5.6587015,23.75
176,2022_09_05_REH_lim_exp2_061,Soil,5,5,0.1,10,6554,2.65522,AB,2.1591825,2.580342,2.48192,-1.9858825,23.75
177,2022_09_05_REH_lim_exp2_062,Soil,6,5,0.1,10,33648.2,4.822756,AB,2.1591825,2.580342,2.48192,0.1816535,23.75
178,2022_09_05_REH_lim_exp2_063,Soil,7,5,0.1,10,7347,2.71866,AB,2.1591825,2.580342,2.48192,-1.9224425,23.75
179,2022_09_05_REH_lim_exp2_064,Soil,8,5,0.1,10,11603.6,3.059188,AB,2.1591825,2.580342,2.48192,-1.5819145,23.75
180,2022_09_05_REH_lim_exp2_065,Soil,9,5,0.1,10,3863.2,2.439956,AB,2.1591825,2.580342,2.48192,-2.2011465,23.75
145,2022_09_05_REH_lim_exp2_019,Soil,1,5,0.25,25,7921.2,2.764596,AB,2.1591825,2.580342,2.48192,-1.8765065,23.75
146,2022_09_05_REH_lim_exp2_020,Soil,2,5,0.25,25,5855.5,2.59934,AB,2.1591825,2.580342,2.48192,-2.0417625,23.75
147,2022_09_05_REH_lim_exp2_021,Soil,3,5,0.25,25,22266,3.91218,AB,2.1591825,2.580342,2.48192,-0.7289225,23.75
148,2022_09_05_REH_lim_exp2_022,Soil,4,5,0.25,25,6021.9,2.612652,AB,2.1591825,2.580342,2.48192,-2.0284505,23.75
149,2022_09_05_REH_lim_exp2_023,Soil,5,5,0.25,25,5825.1,2.596908,AB,2.1591825,2.580342,2.48192,-2.0441945,23.75
150,2022_09_05_REH_lim_exp2_024,Soil,6,5,0.25,25,8814.2,2.836036,AB,2.1591825,2.580342,2.48192,-1.8050665,23.75
151,2022_09_05_REH_lim_exp2_025,Soil,7,5,0.25,25,6308.4,2.635572,AB,2.1591825,2.580342,2.48192,-2.0055305,23.75
152,2022_09_05_REH_lim_exp2_026,Soil,8,5,0.25,25,7713.6,2.747988,AB,2.1591825,2.580342,2.48192,-1.8931145,23.75
153,2022_09_05_REH_lim_exp2_027,Soil,9,5,0.25,25,6911,2.68378,AB,2.1591825,2.580342,2.48192,-1.9573225,23.75
154,2022_09_05_REH_lim_exp2_029,Soil,1,5,0.5,50,6265,2.6321,AB,2.1591825,2.580342,2.48192,-2.0090025,23.75
155,2022_09_05_REH_lim_exp2_030,Soil,2,5,0.5,50,17099.5,3.49886,AB,2.1591825,2.580342,2.48192,-1.1422425,23.75
156,2022_09_05_REH_lim_exp2_031,Soil,3,5,0.5,50,6140.3,2.622124,AB,2.1591825,2.580342,2.48192,-2.0189785,23.75
157,2022_09_05_REH_lim_exp2_032,Soil,4,5,0.5,50,6267.6,2.632308,AB,2.1591825,2.580342,2.48192,-2.0087945,23.75
158,2022_09_05_REH_lim_exp2_033,Soil,5,5,0.5,50,4214.1,2.468028,AB,2.1591825,2.580342,2.48192,-2.1730745,23.75
159,2022_09_05_REH_lim_exp2_034,Soil,6,5,0.5,50,9545,2.8945,AB,2.1591825,2.580342,2.48192,-1.7466025,23.75
160,2022_09_05_REH_lim_exp2_035,Soil,7,5,0.5,50,11060.7,3.015756,AB,2.1591825,2.580342,2.48192,-1.6253465,23.75
161,2022_09_05_REH_lim_exp2_036,Soil,8,5,0.5,50,4758.2,2.511556,AB,2.1591825,2.580342,2.48192,-2.1295465,23.75
162,2022_09_05_REH_lim_exp2_037,Soil,9,5,0.5,50,9503,2.89114,AB,2.1591825,2.580342,2.48192,-1.7499625,23.75
163,2022_09_05_REH_lim_exp2_039,Soil,1,5,1,100,10297.2,2.954676,AB,2.1591825,2.580342,2.48192,-1.6864265,23.75
164,2022_09_05_REH_lim_exp2_040,Soil,2,5,1,100,15182.7,3.345516,AB,2.1591825,2.580342,2.48192,-1.2955865,23.75
165,2022_09_05_REH_lim_exp2_041,Soil,3,5,1,100,15498.9,3.370812,AB,2.1591825,2.580342,2.48192,-1.2702905,23.75
166,2022_09_05_REH_lim_exp2_042,Soil,4,5,1,100,102989.7,10.370076,AB,2.1591825,2.580342,2.48192,5.7289735,23.75
167,2022_09_05_REH_lim_exp2_043,Soil,5,5,1,100,17790.5,3.55414,AB,2.1591825,2.580342,2.48192,-1.0869625,23.75
168,2022_09_05_REH_lim_exp2_044,Soil,6,5,1,100,7696.5,2.74662,AB,2.1591825,2.580342,2.48192,-1.8944825,23.75
169,2022_09_05_REH_lim_exp2_045,Soil,7,5,1,100,3464.5,2.40806,AB,2.1591825,2.580342,2.48192,-2.2330425,23.75
170,2022_09_05_REH_lim_exp2_046,Soil,8,5,1,100,9275.4,2.872932,AB,2.1591825,2.580342,2.48192,-1.7681705,23.75
171,2022_09_05_REH_lim_exp2_047,Soil,9,5,1,100,20086.9,3.737852,AB,2.1591825,2.580342,2.48192,-0.9032505,23.75
28,2022_09_01_REH_lim_exp2_047,Soil,1,15,0.1,10,8755.9,2.646231,AB,2.1591825,5.4895155,5.306235,-4.8191865,24.5
29,2022_09_01_REH_lim_exp2_048,Soil,2,15,0.1,10,6477.8,2.441202,AB,2.1591825,5.4895155,5.306235,-5.0242155,24.5
30,2022_09_01_REH_lim_exp2_049,Soil,3,15,0.1,10,5248.5,2.330565,AB,2.1591825,5.4895155,5.306235,-5.1348525,24.5
31,2022_09_01_REH_lim_exp2_050,Soil,4,15,0.1,10,1164.5,1.963005,AB,2.1591825,5.4895155,5.306235,-5.5024125,24.5
32,2022_09_01_REH_lim_exp2_051,Soil,5,15,0.1,10,3345.6,2.159304,AB,2.1591825,5.4895155,5.306235,-5.3061135,24.5
33,2022_09_01_REH_lim_exp2_052,Soil,6,15,0.1,10,63071.8,7.534662,AB,2.1591825,5.4895155,5.306235,0.0692445,24.5
