niche,sample_no,temp_C,moist,ppm,Bag_ID,avg_blank,bag_avg,ppm_corrected,incubation_time
Litter,5,25,50,4.970052,A,3.594198,6.220324,-4.84447,24
Litter,6,25,50,5.520492,A,3.594198,6.220324,-4.29403,24
Litter,7,25,50,6.737404,A,3.594198,6.220324,-3.077118,24
Litter,8,25,50,4.165988,A,3.594198,6.220324,-5.648534,24
Litter,9,25,50,4.95126,A,3.594198,6.220324,-4.863262,24
Litter,1,25,100,8.51098,A,3.594198,6.220324,-1.303542,24
Litter,2,25,100,8.454028,A,3.594198,6.220324,-1.360494,24
Litter,3,25,100,5.831268,A,3.594198,6.220324,-3.983254,24
Litter,4,25,100,13.980068,A,3.594198,6.220324,4.165546,24
Litter,5,25,100,8.284108,A,3.594198,6.220324,-1.530414,24
Litter,6,25,100,4.886636,A,3.594198,6.220324,-4.927886,24
Litter,7,25,100,6.548404,A,3.594198,6.220324,-3.266118,24
Litter,8,25,100,11.120748,A,3.594198,6.220324,1.306226,24
Litter,9,25,100,9.202868,A,3.594198,6.220324,-0.611654,24
Litter,1,25,150,2.579924,A,3.594198,6.220324,-7.234598,24
Litter,2,25,150,12.718676,A,3.594198,6.220324,2.904154,24
Litter,3,25,150,6.63034,A,3.594198,6.220324,-3.184182,24
Litter,4,25,150,6.245788,A,3.594198,6.220324,-3.568734,24
Litter,5,25,150,4.82638,A,3.594198,6.220324,-4.988142,24
Litter,6,25,150,3.486732,A,3.594198,6.220324,-6.32779,24
Litter,7,25,150,4.159908,A,3.594198,6.220324,-5.654614,24
Litter,8,25,150,3.9195,A,3.594198,6.220324,-5.895022,24
Litter,9,25,150,3.612492,A,3.594198,6.220324,-6.20203,24
Wood,1,25,25,9.731796,A,15.129416,6.220324,-11.617944,24
Wood,2,25,25,3.619924,A,15.129416,6.220324,-17.729816,24
Wood,3,25,25,12.39974,A,15.129416,6.220324,-8.95,24
Wood,4,25,25,3.23558,A,15.129416,6.220324,-18.11416,24
Wood,5,25,25,5.029796,A,15.129416,6.220324,-16.319944,24
Wood,6,25,25,3.684964,A,15.129416,6.220324,-17.664776,24
Wood,7,25,25,4.695788,A,15.129416,6.220324,-16.653952,24
Wood,8,25,25,21.208948,A,15.129416,6.220324,-0.140792,24
Wood,9,25,25,3.50574,A,15.129416,6.220324,-17.844,24
Wood,4,25,50,7.168644,A,15.129416,6.220324,-14.181096,24
Wood,1,25,50,14.226916,A,15.129416,6.220324,-7.122824,24
Wood,2,25,50,6.895628,A,15.129416,6.220324,-14.454112,24
